,IS2_file,S1_id,start_date,end_date,track,cycle
0,ATL10-02_20190125171848_04320201_005_02.h5,COPERNICUS/S2_SR/20190125T161339_20190125T161342_T12CVC,1/25/2019,1/26/2019,432,2
1,ATL10-02_20190125171848_04320201_005_02.h5,COPERNICUS/S2_SR/20190125T161339_20190125T161342_T12CVD,1/25/2019,1/26/2019,432,2
2,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T13CFV,1/27/2019,1/28/2019,462,2
3,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T13DFA,1/27/2019,1/28/2019,462,2
4,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T14CMB,1/27/2019,1/28/2019,462,2
5,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T14CMC,1/27/2019,1/28/2019,462,2
6,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T14CMD,1/27/2019,1/28/2019,462,2
7,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T14CME,1/27/2019,1/28/2019,462,2
8,ATL10-02_20190127162732_04620201_005_02.h5,COPERNICUS/S2_SR/20190127T151259_20190127T151259_T14DMF,1/27/2019,1/28/2019,462,2
9,ATL10-02_20190201190211_05400201_005_02.h5,COPERNICUS/S2_SR/20190201T174429_20190201T174432_T07CDR,2/1/2019,2/2/2019,540,2
10,ATL10-02_20190201190211_05400201_005_02.h5,COPERNICUS/S2_SR/20190201T174429_20190201T174432_T07CDS,2/1/2019,2/2/2019,540,2
11,ATL10-02_20190214163711_07370201_005_02.h5,COPERNICUS/S2_SR/20190214T161339_20190214T161342_T11CNS,2/14/2019,2/15/2019,737,2
12,ATL10-02_20190214163711_07370201_005_02.h5,COPERNICUS/S2_SR/20190214T161339_20190214T161342_T11CNT,2/14/2019,2/15/2019,737,2
13,ATL10-02_20190301180351_09670201_005_02.h5,COPERNICUS/S2_SR/20190301T184359_20190301T184402_T05DPC,3/1/2019,3/2/2019,967,2
14,ATL10-02_20190927161627_00120501_005_02.h5,COPERNICUS/S2_SR/20190927T152309_20190927T152303_T13CDR,9/27/2019,9/28/2019,12,5
15,ATL10-02_20190927161627_00120501_005_02.h5,COPERNICUS/S2_SR/20190927T152309_20190927T152303_T13CES,9/27/2019,9/28/2019,12,5
16,ATL10-02_20190927161627_00120501_005_02.h5,COPERNICUS/S2_SR/20190927T152309_20190927T152303_T13CET,9/27/2019,9/28/2019,12,5
17,ATL10-02_20190927161627_00120501_005_02.h5,COPERNICUS/S2_SR/20190927T152309_20190927T152303_T13CEU,9/27/2019,9/28/2019,12,5
18,ATL10-02_20190927161627_00120501_005_02.h5,COPERNICUS/S2_SR/20190927T152309_20190927T152303_T13CEV,9/27/2019,9/28/2019,12,5
19,ATL10-02_20190927161627_00120501_005_02.h5,COPERNICUS/S2_SR/20190927T152309_20190927T152303_T13DEA,9/27/2019,9/28/2019,12,5
20,ATL10-02_20191001174224_00740501_005_02.h5,COPERNICUS/S2_SR/20191001T164359_20191001T164353_T09CWS,10/1/2019,10/2/2019,74,5
21,ATL10-02_20191002171645_00890501_005_02.h5,COPERNICUS/S2_SR/20191002T161349_20191002T161343_T10CDC,10/2/2019,10/3/2019,89,5
22,ATL10-02_20191002171645_00890501_005_02.h5,COPERNICUS/S2_SR/20191002T161349_20191002T161343_T10CEC,10/2/2019,10/3/2019,89,5
23,ATL10-02_20191005173405_01350501_005_02.h5,COPERNICUS/S2_SR/20191005T162349_20191005T162358_T09CVS,10/5/2019,10/6/2019,135,5
24,ATL10-02_20191020172626_03640501_005_02.h5,COPERNICUS/S2_SR/20191020T171409_20191020T171405_T07CES,10/20/2019,10/21/2019,364,5
25,ATL10-02_20191021170047_03790501_005_02.h5,COPERNICUS/S2_SR/20191021T164359_20191021T164353_T08CNB,10/21/2019,10/22/2019,379,5
26,ATL10-02_20191102150128_05610501_005_02.h5,COPERNICUS/S2_SR/20191102T154319_20191102T154439_T12CVB,11/2/2019,11/3/2019,561,5
27,ATL10-02_20191103143549_05760501_005_02.h5,COPERNICUS/S2_SR/20191103T151259_20191103T151300_T13CDS,11/3/2019,11/4/2019,576,5
28,ATL10-02_20191103143549_05760501_005_02.h5,COPERNICUS/S2_SR/20191103T151259_20191103T151300_T13CDT,11/3/2019,11/4/2019,576,5
29,ATL10-02_20191103143549_05760501_005_02.h5,COPERNICUS/S2_SR/20191103T151259_20191103T151300_T13CET,11/3/2019,11/4/2019,576,5
30,ATL10-02_20191103143549_05760501_005_02.h5,COPERNICUS/S2_SR/20191103T151259_20191103T151300_T13CEU,11/3/2019,11/4/2019,576,5
31,ATL10-02_20191104154428_05920501_005_02.h5,COPERNICUS/S2_SR/20191104T162349_20191104T162345_T10CDB,11/4/2019,11/5/2019,592,5
32,ATL10-02_20191104154428_05920501_005_02.h5,COPERNICUS/S2_SR/20191104T162349_20191104T162345_T10CDC,11/4/2019,11/5/2019,592,5
33,ATL10-02_20191104154428_05920501_005_02.h5,COPERNICUS/S2_SR/20191104T162349_20191104T162345_T10CDD,11/4/2019,11/5/2019,592,5
34,ATL10-02_20191104154428_05920501_005_02.h5,COPERNICUS/S2_SR/20191104T162349_20191104T162345_T10CEC,11/4/2019,11/5/2019,592,5
35,ATL10-02_20191104154428_05920501_005_02.h5,COPERNICUS/S2_SR/20191104T162349_20191104T162345_T10CED,11/4/2019,11/5/2019,592,5
36,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T06CWA,11/9/2019,11/10/2019,669,5
37,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T07CDR,11/9/2019,11/10/2019,669,5
38,ATL10-02_20191110161907_06840501_005_02.h5,COPERNICUS/S2_SR/20191110T164349_20191110T164351_T08CMB,11/10/2019,11/11/2019,684,5
39,ATL10-02_20210207163813_06981001_005_01.h5,COPERNICUS/S2_SR/20210207T155329_20210207T155325_T12CXE,2/7/2021,2/8/2021,698,10
40,ATL10-02_20210212173832_07751001_005_01.h5,COPERNICUS/S2_SR/20210212T164349_20210212T164350_T09CWS,2/12/2021,2/13/2021,775,10
41,ATL10-02_20210212173832_07751001_005_01.h5,COPERNICUS/S2_SR/20210212T164349_20210212T164350_T10CDB,2/12/2021,2/13/2021,775,10
42,ATL10-02_20210215162132_08201001_005_01.h5,COPERNICUS/S2_SR/20210215T151259_20210215T151257_T13CDT,2/15/2021,2/16/2021,820,10
43,ATL10-02_20210215162132_08201001_005_01.h5,COPERNICUS/S2_SR/20210215T151259_20210215T151257_T13CDU,2/15/2021,2/16/2021,820,10
44,ATL10-02_20210219161314_08811001_005_01.h5,COPERNICUS/S2_SR/20210219T145249_20210219T145320_T12CWA,2/19/2021,2/20/2021,881,10
45,ATL10-02_20210303172232_10651001_005_01.h5,COPERNICUS/S2_SR/20210303T171409_20210303T171404_T08CNC,3/3/2021,3/4/2021,1065,10
46,ATL10-02_20210304165653_10801001_005_01.h5,COPERNICUS/S2_SR/20210304T164349_20210304T164352_T09CVS,3/4/2021,3/5/2021,1080,10
