,IS2_file,S1_id,start_date,end_date,track,cycle
0,ATL10-02_20190201190211_05400201_005_02.h5,COPERNICUS/S2_SR/20190201T174429_20190201T174432_T07CDQ,2/1/2019,2/2/2019,540,2
1,ATL10-02_20190201190211_05400201_005_02.h5,COPERNICUS/S2_SR/20190201T174429_20190201T174432_T07CDR,2/1/2019,2/2/2019,540,2
2,ATL10-02_20190201190211_05400201_005_02.h5,COPERNICUS/S2_SR/20190201T174429_20190201T174432_T07CDS,2/1/2019,2/2/2019,540,2
3,ATL10-02_20191009190002_01970501_005_02.h5,COPERNICUS/S2_SR/20191009T174439_20191009T174434_T04CET,10/9/2019,10/10/2019,197,5
4,ATL10-02_20191009190002_01970501_005_02.h5,COPERNICUS/S2_SR/20191009T174439_20191009T174434_T04CEU,10/9/2019,10/10/2019,197,5
5,ATL10-02_20191009190002_01970501_005_02.h5,COPERNICUS/S2_SR/20191009T174439_20191009T174434_T04CEV,10/9/2019,10/10/2019,197,5
6,ATL10-02_20191009190002_01970501_005_02.h5,COPERNICUS/S2_SR/20191009T174439_20191009T174434_T05CMN,10/9/2019,10/10/2019,197,5
7,ATL10-02_20191009190002_01970501_005_02.h5,COPERNICUS/S2_SR/20191009T174439_20191009T174434_T05CMP,10/9/2019,10/10/2019,197,5
8,ATL10-02_20191009190002_01970501_005_02.h5,COPERNICUS/S2_SR/20191009T174439_20191009T174434_T05CMQ,10/9/2019,10/10/2019,197,5
9,ATL10-02_20191010183423_02120501_005_02.h5,COPERNICUS/S2_SR/20191010T171409_20191010T171504_T05CNN,10/10/2019,10/11/2019,212,5
10,ATL10-02_20191010183423_02120501_005_02.h5,COPERNICUS/S2_SR/20191010T171409_20191010T171504_T06CVT,10/10/2019,10/11/2019,212,5
11,ATL10-02_20191017184322_03190501_005_02.h5,COPERNICUS/S2_SR/20191017T184459_20191017T184501_T04CEB,10/17/2019,10/18/2019,319,5
12,ATL10-02_20191017184322_03190501_005_02.h5,COPERNICUS/S2_SR/20191017T184459_20191017T184501_T05CMT,10/17/2019,10/18/2019,319,5
13,ATL10-02_20191018181743_03340501_005_02.h5,COPERNICUS/S2_SR/20191018T181519_20191018T181513_T05CNQ,10/18/2019,10/19/2019,334,5
14,ATL10-02_20191018181743_03340501_005_02.h5,COPERNICUS/S2_SR/20191018T181519_20191018T181513_T06CVV,10/18/2019,10/19/2019,334,5
15,ATL10-02_20191019175205_03490501_005_02.h5,COPERNICUS/S2_SR/20191019T174439_20191019T174433_T06CWU,10/19/2019,10/20/2019,349,5
16,ATL10-02_20191019175205_03490501_005_02.h5,COPERNICUS/S2_SR/20191019T174439_20191019T174433_T06CWV,10/19/2019,10/20/2019,349,5
17,ATL10-02_20191020172626_03640501_005_02.h5,COPERNICUS/S2_SR/20191020T171409_20191020T171405_T07CDN,10/20/2019,10/21/2019,364,5
18,ATL10-02_20191020172626_03640501_005_02.h5,COPERNICUS/S2_SR/20191020T171409_20191020T171405_T07CES,10/20/2019,10/21/2019,364,5
19,ATL10-02_20191025200102_04420501_005_02.h5,COPERNICUS/S2_SR/20191025T194529_20191025T194524_T01CDT,10/25/2019,10/26/2019,442,5
20,ATL10-02_20191027190943_04720501_005_02.h5,COPERNICUS/S2_SR/20191027T184459_20191027T184501_T01CEN,10/27/2019,10/28/2019,472,5
21,ATL10-02_20191027190943_04720501_005_02.h5,COPERNICUS/S2_SR/20191027T184459_20191027T184501_T02CMT,10/27/2019,10/28/2019,472,5
22,ATL10-02_20191103174424_05780501_005_02.h5,COPERNICUS/S2_SR/20191103T183459_20191103T183502_T05CMQ,11/3/2019,11/4/2019,578,5
23,ATL10-02_20191104171845_05930501_005_02.h5,COPERNICUS/S2_SR/20191104T162349_20191104T162345_T06CVT,11/4/2019,11/5/2019,593,5
24,ATL10-02_20191106180144_06240501_005_02.h5,COPERNICUS/S2_SR/20191106T184459_20191106T184500_T04CDT,11/6/2019,11/7/2019,624,5
25,ATL10-02_20191107173605_06390501_005_02.h5,COPERNICUS/S2_SR/20191107T181509_20191107T181512_T05CMQ,11/7/2019,11/8/2019,639,5
26,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T06CWA,11/9/2019,11/10/2019,669,5
27,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T06CWT,11/9/2019,11/10/2019,669,5
28,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T06CWU,11/9/2019,11/10/2019,669,5
29,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T07CDN,11/9/2019,11/10/2019,669,5
30,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T07CDP,11/9/2019,11/10/2019,669,5
31,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T07CDQ,11/9/2019,11/10/2019,669,5
32,ATL10-02_20191109164446_06690501_005_02.h5,COPERNICUS/S2_SR/20191109T171409_20191109T171403_T07CDR,11/9/2019,11/10/2019,669,5
