,IS2_file,S1_id,start_date,end_date,track,cycle
0,ATL10-02_20190207131940_06280201_005_02.h5,COPERNICUS/S2_SR/20190207T125909_20190207T125904_T20CNE,2/7/2019,2/8/2019,628,2
1,ATL10-02_20190216092843_07630201_005_02.h5,COPERNICUS/S2_SR/20190216T082939_20190216T082935_T29CMR,2/16/2019,2/17/2019,763,2
2,ATL10-02_20190218101142_07940201_005_02.h5,COPERNICUS/S2_SR/20190218T091009_20190218T091007_T27CVR,2/18/2019,2/19/2019,794,2
3,ATL10-02_20190218101142_07940201_005_02.h5,COPERNICUS/S2_SR/20190218T091009_20190218T091007_T27CVS,2/18/2019,2/19/2019,794,2
4,ATL10-02_20190218101142_07940201_005_02.h5,COPERNICUS/S2_SR/20190218T091009_20190218T091007_T27CWS,2/18/2019,2/19/2019,794,2
5,ATL10-02_20190220122857_08260201_005_02.h5,COPERNICUS/S2_SR/20190220T113259_20190220T113302_T22CDU,2/20/2019,2/21/2019,826,2
6,ATL10-02_20190221120318_08410201_005_02.h5,COPERNICUS/S2_SR/20190221T110249_20190221T110250_T22CEU,2/21/2019,2/22/2019,841,2
7,ATL10-02_20190221120318_08410201_005_02.h5,COPERNICUS/S2_SR/20190221T110249_20190221T110250_T23CMP,2/21/2019,2/22/2019,841,2
8,ATL10-02_20190222113740_08560201_005_02.h5,COPERNICUS/S2_SR/20190222T103149_20190222T103152_T23CNQ,2/22/2019,2/23/2019,856,2
9,ATL10-02_20190224122039_08870201_005_02.h5,COPERNICUS/S2_SR/20190224T124909_20190224T124905_T20CPE,2/24/2019,2/25/2019,887,2
10,ATL10-02_20190224122039_08870201_005_02.h5,COPERNICUS/S2_SR/20190224T124909_20190224T124905_T20DNG,2/24/2019,2/25/2019,887,2
11,ATL10-02_20190224122039_08870201_005_02.h5,COPERNICUS/S2_SR/20190224T124909_20190224T124905_T20DNH,2/24/2019,2/25/2019,887,2
12,ATL10-02_20190224122039_08870201_005_02.h5,COPERNICUS/S2_SR/20190224T124909_20190224T124905_T20DNJ,2/24/2019,2/25/2019,887,2
13,ATL10-02_20190224122039_08870201_005_02.h5,COPERNICUS/S2_SR/20190224T124909_20190224T124905_T20DNK,2/24/2019,2/25/2019,887,2
14,ATL10-02_20190224122039_08870201_005_02.h5,COPERNICUS/S2_SR/20190224T124909_20190224T124905_T21CVV,2/24/2019,2/25/2019,887,2
15,ATL10-02_20190225102043_09010201_005_02.h5,COPERNICUS/S2_SR/20190225T085959_20190225T085955_T26CMU,2/25/2019,2/26/2019,901,2
16,ATL10-02_20190225102043_09010201_005_02.h5,COPERNICUS/S2_SR/20190225T085959_20190225T085955_T26CNU,2/25/2019,2/26/2019,901,2
17,ATL10-02_20190228121220_09480201_005_02.h5,COPERNICUS/S2_SR/20190228T123149_20190228T123149_T20CPE,2/28/2019,3/1/2019,948,2
18,ATL10-02_20190228121220_09480201_005_02.h5,COPERNICUS/S2_SR/20190228T123149_20190228T123149_T21CVV,2/28/2019,3/1/2019,948,2
19,ATL10-02_20190301114641_09630201_005_02.h5,COPERNICUS/S2_SR/20190301T120239_20190301T120239_T21CWS,3/1/2019,3/2/2019,963,2
20,ATL10-02_20190301114641_09630201_005_02.h5,COPERNICUS/S2_SR/20190301T120239_20190301T120239_T22CDB,3/1/2019,3/2/2019,963,2
21,ATL10-02_20190317111321_12070201_005_02.h5,COPERNICUS/S2_SR/20190317T122209_20190317T122211_T20CPE,3/17/2019,3/18/2019,1207,2
22,ATL10-02_20190317111321_12070201_005_02.h5,COPERNICUS/S2_SR/20190317T122209_20190317T122211_T21CVV,3/17/2019,3/18/2019,1207,2
23,ATL10-02_20190922103315_13190401_005_02.h5,COPERNICUS/S2_SR/20190922T093009_20190922T093044_T28CEA,9/22/2019,9/23/2019,1319,4
24,ATL10-02_20190925105036_13650401_005_02.h5,COPERNICUS/S2_SR/20190925T094019_20190925T094018_T26CNU,9/25/2019,9/26/2019,1365,4
25,ATL10-02_20190925105036_13650401_005_02.h5,COPERNICUS/S2_SR/20190925T094019_20190925T094018_T26CNV,9/25/2019,9/26/2019,1365,4
26,ATL10-02_20190925105036_13650401_005_02.h5,COPERNICUS/S2_SR/20190925T094019_20190925T094018_T27CVP,9/25/2019,9/26/2019,1365,4
27,ATL10-02_20190925105036_13650401_005_02.h5,COPERNICUS/S2_SR/20190925T094019_20190925T094018_T27CVQ,9/25/2019,9/26/2019,1365,4
28,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T25CEP,9/26/2019,9/27/2019,1380,4
29,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T26CMU,9/26/2019,9/27/2019,1380,4
30,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T26CNU,9/26/2019,9/27/2019,1380,4
31,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T27CVP,9/26/2019,9/27/2019,1380,4
32,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T27CWP,9/26/2019,9/27/2019,1380,4
33,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T28CDB,9/26/2019,9/27/2019,1380,4
34,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T28CDC,9/26/2019,9/27/2019,1380,4
35,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T28CDD,9/26/2019,9/27/2019,1380,4
36,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T28CDU,9/26/2019,9/27/2019,1380,4
37,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T28CEC,9/26/2019,9/27/2019,1380,4
38,ATL10-02_20190926102456_13800401_005_02.h5,COPERNICUS/S2_SR/20190926T091009_20190926T091008_T28CED,9/26/2019,9/27/2019,1380,4
